Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
2BhuZTzWUHMPiFdw7CBYtzH7VdmiZtvZgMZ2vqfHpXwEgsZkQMZgHPN9jPwmMtBjXvKGw7ozsPzzbTziq6RPJbXi,1755413312,2025-08-17T06:48:32,0.000006777,62DpHkt3h7r6CJECjtRQUoMnm3SJxUTzF5kNUGjs2325,dec,6777,1506564941,1506558164,So11111111111111111111111111111111111111111,9,1.0
4s5Y2SfczpHFeVya58F9tiTUwWPg32n4EW4LK3ES3QQWDQwFLK2Ng4Bm9Tv9XctZQrNorSY39grFhmEi1HhcrBu3,1755413312,2025-08-17T06:48:32,0.000006777,62DpHkt3h7r6CJECjtRQUoMnm3SJxUTzF5kNUGjs2325,dec,6777,1506571718,1506564941,So11111111111111111111111111111111111111111,9,1.0
5JQY8Ldq268gcDYHJVWuqVjwxTeWfoC27UctvvF7KaDo5a97tH5uvx2rm5dvtkrqKp4JZrZh3FwnvxqLdPCT5Tfb,1755413312,2025-08-17T06:48:32,0.000006777,62DpHkt3h7r6CJECjtRQUoMnm3SJxUTzF5kNUGjs2325,dec,6777,1506578495,1506571718,So11111111111111111111111111111111111111111,9,1.0
3cYUnMn5DCwcCtUr8CXhQTdPAZWdpBPQmu82UCjcS7DcJda53StHa8g8wc9H8xew41QTmZrjXM9mqrCNNWi3vMBd,1755413174,2025-08-17T06:46:14,0.000015,62DpHkt3h7r6CJECjtRQUoMnm3SJxUTzF5kNUGjs2325,dec,11500000,1518078495,1506578495,So11111111111111111111111111111111111111111,9,1.0
3hSRj446JDh5fAbrCmuHihhKPC2jKfFLtp8sbpf9pqmye93nwCg999bPdv452444Yi7d5Yu7TG9wP4Qs87Y3ysyK,1755413136,2025-08-17T06:45:36,0.000015,62DpHkt3h7r6CJECjtRQUoMnm3SJxUTzF5kNUGjs2325,dec,11500000,1529578495,1518078495,So11111111111111111111111111111111111111111,9,1.0
5m6n4AnE4q62C4W3juFykss5bvgZsah1gdpn7VphuFWzbgYovLtMQTt5udgR6tn2SwzkgJKoqfbrWNBjZRSGPK7b,1755413072,2025-08-17T06:44:32,0.000015,62DpHkt3h7r6CJECjtRQUoMnm3SJxUTzF5kNUGjs2325,dec,11500000,1541078495,1529578495,So11111111111111111111111111111111111111111,9,1.0
4VJtGMm6TfbrxiEHdPZnKpFqWk11xFjRU5969wcM58YDRYkMmbFkMFUXMtTrSn33Bxnio54F2EW9xSydEr6mCnnj,1755412945,2025-08-17T06:42:25,0.000005,62DpHkt3h7r6CJECjtRQUoMnm3SJxUTzF5kNUGjs2325,inc,100000,1540978495,1541078495,So11111111111111111111111111111111111111111,9,1.0
5e6TauD8F7363Rjezn7QEjBeCdE2VgSynhAdDET12zexatAEXvUphWZyAwFYVH2LsP9DmqWwmWrZb2swTMtDivCA,1755412927,2025-08-17T06:42:07,0.00008,62DpHkt3h7r6CJECjtRQUoMnm3SJxUTzF5kNUGjs2325,inc,440000000,1100978495,1540978495,So11111111111111111111111111111111111111111,9,1.0
2UW6FW4HQWF7m47HihasPbw5uUG2RLPvk2iU1nDQF7YsstiMReQ6E5UTmiFtXSd4gt16A9thutog512qpjhb6Cek,1755412649,2025-08-17T06:37:29,0.000015,62DpHkt3h7r6CJECjtRQUoMnm3SJxUTzF5kNUGjs2325,dec,11500000,1112478495,1100978495,So11111111111111111111111111111111111111111,9,1.0
3Y8hDN8TeTZ2YkjGQEjDzvn971eGmTwtnunbCBEvXquiMQjgBe8EZL6Yeixj8RHPD92LsFkA9T78UugxYY63DxXU,1755360357,2025-08-16T16:05:57,0.000013955,62DpHkt3h7r6CJECjtRQUoMnm3SJxUTzF5kNUGjs2325,dec,13955,1112492450,1112478495,So11111111111111111111111111111111111111111,9,1.0
