User Name,User ID,Points Balance,Total Harvested,Store Spent,Quest Points Earned,Quests Completed,Tips Given,Drops Claimed,Magic Embeds Claimed,Highest Tip Received,Total Tips Received,Total Tokens Received,Highest Tip Given,Total Tips Given,Total Magic Embeds
Narrrf,328601656659017732,1521401,0,0,5,1,0,0,10,0,0,0,0,0,2
Harald1977,1138915296959287468,1346599,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeldos,813992163377414156,1268200,0,0,0,0,0,0,0,0,0,0,0,0,0
DEECZO || Narrrf's World,987492370616561714,1198006,0,0,5,1,2,0,5,0,0,0,2,1,1
spridarn,405758248407531521,1154800,0,0,0,0,0,0,0,0,0,0,0,0,0
PoliTechsGuy,330373758172921877,1086600,0,0,0,0,0,0,0,0,0,0,0,0,0
weedy75,1233440156128641065,980400,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptime,946199839111266354,953000,0,0,0,0,0,0,0,0,0,0,0,0,0
Pauleecyio,782242542095826946,716000,0,0,0,0,0,0,0,0,0,0,0,0,0
S1991z,896779071164403822,684800,0,0,0,0,0,0,0,0,0,0,0,0,0
Victorifyd6r,729674774745186405,650000,0,0,0,0,0,0,0,0,0,0,0,0,0
IrinKra𝕊,899076429633945611,615000,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital T,919618776620748831,601998,0,0,0,0,0,0,0,0,0,0,0,0,0
KAKANFO || Narrrf’s World,1260317833532014805,600004,0,0,0,0,0,0,5,2,1,2,0,0,1
hzz2001,760183609222758501,561900,0,0,0,0,0,0,0,0,0,0,0,0,0
rezidenc12,919526807374553151,543000,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas,854353478646366230,539999,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pied PipeR,973986241202753586,488399,0,0,0,0,0,0,0,0,0,0,0,0,0
SarahDonna,1215665502970581004,477000,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa,1107633105185013790,445300,0,0,0,0,0,0,0,0,0,0,0,0,0
Magali,902990329446277150,438800,0,0,0,0,0,0,0,0,0,0,0,0,0
ꁅꂦꂦꌚꈼ🪿,519526528506396693,415000,0,0,0,0,0,0,0,0,0,0,0,0,0
johngope,650836758321430564,381000,0,0,0,0,0,0,0,0,0,0,0,0,0
dingo,625662297033146368,340000,0,0,0,0,0,0,0,0,0,0,0,0,0
HamBearPig,776667871173541909,338000,0,0,0,0,0,0,0,0,0,0,0,0,0
Justme,1224428436928594015,306000,0,0,0,0,0,0,0,0,0,0,0,0,0
GIDS,931474434303344670,298000,0,200000,0,0,0,0,0,0,0,0,0,0,0
bigbear🇺🇲,678680281904971809,295000,0,0,0,0,0,0,0,0,0,0,0,0,0
cryptodaniel,734200554322001922,294600,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerstin,1208076026727501824,285000,0,0,0,0,0,0,0,0,0,0,0,0,0
&RES,933055368924389377,277000,0,0,0,0,0,0,0,0,0,0,0,0,0
Token77,429757499147812904,270000,0,0,0,0,0,0,0,0,0,0,0,0,0
antdroidz,991087101925797889,266000,0,0,0,0,0,0,0,0,0,0,0,0,0
ES213,1005337747625611324,263000,0,0,0,0,0,0,0,0,0,0,0,0,0
SamX,738929529808093265,260000,0,0,0,0,0,0,0,0,0,0,0,0,0
LennyLOCO,871944171081043989,225000,0,0,0,0,0,0,0,0,0,0,0,0,0
02🫡,993984242260398081,210000,0,0,0,0,0,0,0,0,0,0,0,0,0
yeahbaby,954088420194537492,203000,0,0,0,0,0,0,0,0,0,0,0,0,0
Hererra⨀,830148295280033802,200000,0,0,0,0,0,0,0,0,0,0,0,0,0
G.O.A.L !,925218322105126912,200000,0,0,0,0,0,0,0,0,0,0,0,0,0
HillsTrap,1295502067724451933,200000,0,0,0,0,0,0,0,0,0,0,0,0,0
dilauo96,681855532210061326,200000,0,0,0,0,0,0,0,0,0,0,0,0,0
meowy,894003364717789206,181997,0,0,0,0,0,0,0,0,0,0,0,0,0
🐉Dboss011,841429450867474432,178000,0,0,0,0,0,0,0,0,0,0,0,0,0
GeorgeD2305,888053272798175294,169000,0,0,0,0,0,0,0,0,0,0,0,0,0
Now U see Me ᵗᵐ ⭕,704506147138437152,168400,0,0,0,0,0,0,0,0,0,0,0,0,0
Loveable,1146994462468362250,160000,0,0,0,0,0,0,0,0,0,0,0,0,0
Shark09411,1009927843754553344,160000,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice001,971196904417423380,160000,0,0,0,0,0,0,0,0,0,0,0,0,0
A_dam,1099840086314602597,160000,0,0,0,0,0,0,0,0,0,0,0,0,0
Toheeb,1072237466175684709,160000,0,0,0,0,0,0,0,0,0,0,0,0,0
