User Name,User ID,Points Balance,Total Harvested,Store Spent,Quest Points Earned,Quests Completed,Tips Given,Drops Claimed,Magic Embeds Claimed,Highest Tip Received,Total Tips Received,Total Tokens Received,Highest Tip Given,Total Tips Given,Total Magic Embeds
Yeldos,813992163377414156,1158200,0,0,0,0,0,0,0,0,0,0,0,0,0
Narrrf,328601656659017732,1121401,0,0,5,1,0,0,10,0,0,0,0,0,2
DEECZO || Narrrf's World,987492370616561714,1054006,0,0,5,1,2,0,5,0,0,0,2,1,1
spridarn,405758248407531521,929800,0,0,0,0,0,0,0,0,0,0,0,0,0
PoliTechsGuy,330373758172921877,886600,0,0,0,0,0,0,0,0,0,0,0,0,0
weedy75,1233440156128641065,830400,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptime,946199839111266354,768000,0,0,0,0,0,0,0,0,0,0,0,0,0
S1991z,896779071164403822,684800,0,0,0,0,0,0,0,0,0,0,0,0,0
Harald1977,1138915296959287468,633599,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital T,919618776620748831,569998,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas,854353478646366230,539999,0,0,0,0,0,0,0,0,0,0,0,0,0
rezidenc12,919526807374553151,518000,0,0,0,0,0,0,0,0,0,0,0,0,0
Pauleecyio,782242542095826946,491000,0,0,0,0,0,0,0,0,0,0,0,0,0
SarahDonna,1215665502970581004,477000,0,0,0,0,0,0,0,0,0,0,0,0,0
KAKANFO || Narrrf’s World,1260317833532014805,450004,0,0,0,0,0,0,5,2,1,2,0,0,1
hzz2001,760183609222758501,450000,0,0,0,0,0,0,0,0,0,0,0,0,0
Magali,902990329446277150,438800,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa,1107633105185013790,420300,0,0,0,0,0,0,0,0,0,0,0,0,0
▀▄▀▄▀▄goose▄▀▄▀▄▀,519526528506396693,415000,0,0,0,0,0,0,0,0,0,0,0,0,0
